,0,1,2
0,1,0.0,0.0
1,10000,330.0,330.0
2,20000,250.0,250.0
3,30000,150.0,150.0
4,40000,250.0,250.0
5,50000,230.0,230.0
6,60000,180.0,180.0
7,70000,930.0,930.0
8,80000,430.0,430.0
9,90000,490.0,490.0
10,100000,550.0,550.0
11,110000,390.0,390.0
12,120000,920.0,920.0
13,130000,780.0,780.0
14,140000,230.0,230.0
15,150000,440.0,440.0
16,160000,1000.0,1000.0
17,170000,400.0,400.0
18,180000,460.0,460.0
19,190000,590.0,590.0
20,200000,160.0,160.0
21,210000,480.0,480.0
22,220000,950.0,950.0
23,230000,430.0,430.0
24,240000,910.0,910.0
25,250000,460.0,460.0
26,260000,640.0,640.0
27,270000,940.0,940.0
28,280000,430.0,430.0
29,290000,910.0,910.0
30,300000,380.0,380.0
31,310000,340.0,340.0
32,320000,460.0,460.0
33,330000,430.0,430.0
34,340000,230.0,230.0
35,350000,530.0,530.0
36,360000,370.0,370.0
37,370000,410.0,410.0
38,380000,390.0,390.0
39,390000,1900.0,1900.0
40,400000,1020.0,1020.0
41,410000,570.0,570.0
42,420000,470.0,470.0
43,430000,360.0,360.0
44,440000,500.0,500.0
45,450000,910.0,910.0
46,460000,530.0,530.0
47,470000,330.0,330.0
48,480000,470.0,470.0
49,490000,1880.0,1880.0
50,500000,360.0,360.0
51,510000,1530.0,1530.0
52,520000,960.0,960.0
53,530000,1470.0,1470.0
54,540000,930.0,930.0
55,550000,860.0,860.0
56,560000,1140.0,1140.0
57,570000,380.0,380.0
58,580000,880.0,880.0
59,590000,440.0,440.0
60,600000,920.0,920.0
61,610000,450.0,450.0
62,620000,930.0,930.0
63,630000,930.0,930.0
64,640000,880.0,880.0
65,650000,510.0,510.0
66,660000,860.0,860.0
67,670000,1940.0,1940.0
68,680000,1900.0,1900.0
69,690000,910.0,910.0
70,700000,1900.0,1900.0
71,710000,930.0,930.0
72,720000,1900.0,1900.0
73,730000,460.0,460.0
74,740000,1950.0,1950.0
75,750000,870.0,870.0
76,760000,1900.0,1900.0
77,770000,1930.0,1930.0
78,780000,420.0,420.0
79,790000,930.0,930.0
80,800000,1450.0,1450.0
81,810000,850.0,850.0
82,820000,930.0,930.0
83,830000,2040.0,2040.0
84,840000,2010.0,2010.0
85,850000,960.0,960.0
86,860000,880.0,880.0
87,870000,860.0,860.0
88,880000,920.0,920.0
89,890000,990.0,990.0
90,900000,950.0,950.0
91,910000,850.0,850.0
92,920000,2020.0,2020.0
93,930000,860.0,860.0
94,940000,880.0,880.0
95,960000,1910.0,1910.0
96,960001,1880.0,1880.0
97,970000,1880.0,1880.0
98,980000,1890.0,1890.0
99,990000,320.0,320.0
100,1000000,2030.0,2030.0
