,0,1,2
0,1,31,31
1,10000,2,2
2,20000,57,57
3,30000,111,111
4,40000,66,66
5,50000,84,84
6,60000,89,89
7,70000,86,86
8,80000,102,102
9,100000,136,136
10,120000,84,84
11,130000,85,85
12,140000,137,137
13,150000,136,136
14,160000,137,137
15,170000,108,108
16,180000,136,136
17,190000,143,143
18,200000,136,136
19,210000,147,147
20,220000,142,142
21,230000,151,151
22,240000,142,142
23,250000,144,144
24,260000,151,151
25,270000,157,157
26,270001,154,154
27,280000,137,137
28,290000,276,276
29,300000,285,285
30,310000,102,102
31,320000,223,223
32,330000,246,246
33,340000,260,260
34,350000,242,242
35,360000,246,246
36,370000,256,256
37,380000,248,248
38,390000,257,257
39,400000,222,222
40,410000,242,242
41,420000,299,299
42,430000,284,284
43,440000,250,250
44,450000,270,270
45,460000,296,296
46,470000,327,327
47,480000,320,320
48,490000,313,313
49,500000,299,299
50,510000,311,311
51,520000,295,295
52,530000,331,331
53,540000,331,331
54,550000,298,298
55,560000,303,303
56,570000,310,310
57,580000,407,407
58,590000,408,408
59,600000,409,409
60,610000,379,379
61,620000,359,359
62,630000,362,362
63,640000,316,316
64,650000,392,392
65,660000,391,391
66,670000,407,407
67,680000,357,357
68,690000,297,297
69,700000,429,429
70,710000,434,434
71,720000,357,357
72,730000,408,408
73,740000,435,435
74,750000,353,353
75,760000,458,458
76,770000,405,405
77,780000,448,448
78,790000,447,447
79,800000,399,399
80,810000,433,433
81,820000,442,442
82,830000,428,428
83,840000,436,436
84,850000,487,487
85,860000,501,501
86,870000,436,436
87,880000,416,416
88,890000,409,409
89,900000,433,433
90,910000,496,496
91,920000,429,429
92,930000,64,458
93,940000,458,458
94,950000,89,404
95,960000,404,404
96,970000,214,214
97,980000,424,424
98,990000,490,490
99,1000000,459,459
