,0,1,2
0,10000,150.0,150.0
1,20000,475.0,475.0
2,30000,350.0,350.0
3,40000,325.0,325.0
4,50000,325.0,325.0
5,60000,325.0,325.0
6,70000,325.0,325.0
7,80000,50.0,50.0
8,90000,425.0,425.0
9,100000,425.0,425.0
10,110000,425.0,425.0
11,120000,425.0,425.0
12,130000,525.0,525.0
13,140000,350.0,350.0
14,150000,375.0,375.0
15,160000,475.0,475.0
16,170000,475.0,475.0
17,180000,450.0,450.0
18,190000,475.0,475.0
19,200000,1025.0,1025.0
20,210000,500.0,500.0
21,220000,600.0,600.0
22,230000,500.0,500.0
23,240000,525.0,525.0
24,250000,450.0,450.0
25,260000,475.0,475.0
26,270000,575.0,575.0
27,280000,550.0,550.0
28,290000,500.0,500.0
