,0,1,2
0,1,0.0,0.0
1,10000,100.0,100.0
2,20000,100.0,100.0
3,30000,100.0,100.0
4,40000,660.0,660.0
5,50000,640.0,640.0
6,60000,760.0,760.0
7,70000,560.0,560.0
8,80000,360.0,360.0
9,90000,500.0,500.0
10,100000,600.0,600.0
11,110000,400.0,400.0
12,120000,240.0,240.0
13,130000,880.0,880.0
14,140000,640.0,640.0
15,150000,760.0,760.0
16,160000,600.0,600.0
17,170000,860.0,860.0
18,180000,640.0,640.0
19,190000,760.0,760.0
20,200000,720.0,720.0
21,210000,760.0,760.0
22,220000,800.0,800.0
23,230000,720.0,720.0
24,240000,480.0,480.0
25,250000,760.0,760.0
26,260000,820.0,820.0
27,270000,600.0,600.0
28,280000,1140.0,1140.0
29,290000,280.0,280.0
30,300000,880.0,880.0
31,310000,980.0,980.0
32,320000,1900.0,1900.0
33,330000,660.0,660.0
34,340000,1300.0,1300.0
35,350000,1620.0,1620.0
36,360000,1960.0,1960.0
37,370000,360.0,360.0
38,380000,2020.0,2020.0
39,390000,2420.0,2420.0
40,400000,1380.0,1380.0
41,410000,1860.0,1860.0
42,420000,1880.0,1880.0
43,430000,2180.0,2180.0
44,450000,1120.0,1120.0
45,460000,1240.0,1240.0
46,470000,1520.0,1520.0
47,480000,4200.0,4200.0
48,490000,1800.0,1800.0
49,500000,1340.0,1340.0
50,510000,1360.0,1360.0
51,520000,2780.0,2780.0
52,530000,2260.0,2260.0
53,540000,1820.0,1820.0
54,550000,3640.0,3640.0
55,560000,1820.0,1820.0
56,580000,1900.0,1900.0
57,590000,2740.0,2740.0
58,600000,1280.0,1280.0
59,610000,1140.0,1140.0
60,620000,2100.0,2100.0
61,630000,2120.0,2120.0
62,640000,1840.0,1840.0
63,650000,1780.0,1780.0
64,660000,3060.0,3060.0
65,670000,1640.0,1640.0
66,680000,3500.0,3500.0
67,690000,1640.0,1640.0
68,700000,2760.0,2760.0
69,720000,840.0,840.0
70,730000,4100.0,4100.0
71,740000,3040.0,3040.0
72,760000,2760.0,2760.0
73,770000,1460.0,1460.0
74,780000,1780.0,1780.0
75,790000,3060.0,3060.0
76,800000,1680.0,1680.0
77,810000,3860.0,3860.0
78,820000,3860.0,3860.0
79,830000,1240.0,1240.0
80,840000,2980.0,2980.0
81,850000,2040.0,2040.0
82,860000,3500.0,3500.0
83,870000,2900.0,2900.0
84,890000,1720.0,1720.0
85,900000,3100.0,3100.0
86,910000,3100.0,3100.0
87,920000,2960.0,2960.0
88,930000,3620.0,3620.0
89,940000,3660.0,3660.0
90,950000,3320.0,3320.0
91,960000,2620.0,2620.0
92,970000,2940.0,2940.0
93,980000,2840.0,2840.0
94,990000,1960.0,1960.0
