,0,1,2
0,10000,20.0,20.0
1,20000,1800.0,1800.0
2,30000,50.0,50.0
3,40000,30.0,30.0
4,50000,880.0,880.0
5,60000,30.0,30.0
6,80000,570.0,570.0
7,90000,3110.0,3110.0
8,120000,1460.0,1460.0
9,130000,1930.0,1930.0
10,140000,4450.0,4450.0
11,150000,2520.0,2520.0
12,160000,910.0,910.0
13,170000,5890.0,5890.0
14,180000,4500.0,4500.0
15,190000,5480.0,5480.0
16,200000,2200.0,2200.0
17,210000,4960.0,4960.0
18,220000,980.0,980.0
19,230000,3920.0,3920.0
20,240000,3250.0,3250.0
21,250000,2680.0,2680.0
22,260000,5610.0,5610.0
23,270000,2900.0,2900.0
24,280000,2020.0,2020.0
25,290000,4460.0,4460.0
26,300000,1820.0,1820.0
27,310000,3190.0,3190.0
28,320000,3320.0,3320.0
29,340000,3390.0,3390.0
30,350000,4540.0,4540.0
31,360000,4390.0,4390.0
32,370000,2330.0,2330.0
33,380000,9420.0,9420.0
34,390000,6150.0,6150.0
35,400000,4900.0,4900.0
36,410000,1770.0,1770.0
37,420000,5740.0,5740.0
38,430000,1460.0,1460.0
39,440000,4030.0,4030.0
40,450000,5150.0,5150.0
41,460000,3190.0,3190.0
42,470000,4320.0,4320.0
43,480000,5120.0,5120.0
44,490000,4510.0,4510.0
45,500000,2190.0,2190.0
46,510000,4560.0,4560.0
47,520000,3940.0,3940.0
48,530000,3520.0,3520.0
49,540000,4840.0,4840.0
50,550000,3610.0,3610.0
51,560000,1490.0,1490.0
52,580000,1920.0,1920.0
53,590000,1400.0,1400.0
54,600000,3930.0,3930.0
55,610000,4210.0,4210.0
56,620000,1340.0,1340.0
57,640000,2130.0,2130.0
58,650000,3880.0,3880.0
59,660000,5400.0,5400.0
60,680000,3480.0,3480.0
61,690000,4670.0,4670.0
62,700000,4890.0,4890.0
63,710000,5590.0,5590.0
64,720000,5860.0,5860.0
65,730000,3640.0,3640.0
66,740000,4800.0,4800.0
67,750000,5530.0,5530.0
68,760000,4580.0,4580.0
69,770000,7270.0,7270.0
70,790000,5010.0,5010.0
71,800000,4660.0,4660.0
72,810000,6580.0,6580.0
73,820000,3780.0,3780.0
74,830000,3790.0,3790.0
75,840000,4540.0,4540.0
76,850000,4440.0,4440.0
77,860000,5740.0,5740.0
78,870000,4130.0,4130.0
79,880000,3850.0,3850.0
80,890000,4460.0,4460.0
81,900000,4950.0,4950.0
82,910000,3250.0,3250.0
83,920000,4530.0,4530.0
84,930000,3600.0,3600.0
85,940000,4020.0,4020.0
86,950000,6170.0,6170.0
87,960000,5100.0,5100.0
88,970000,5640.0,5640.0
89,980000,1860.0,1860.0
90,990000,5500.0,5500.0
